,location,ticket_number,issued_date,description,status,dayofweek,hourofday,lat,lon,count,amount
0,300 WAVERLY AVE,23500055,2023/01/04 13:41:00+00,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Second Notice,Wednesday,13,43.0400816,-76.1317789,1,25
1,300 WAVERLY AVE,23500056,2023/01/04 13:41:00+00,UNINSPECTED/ ALL TIMES VTL 306-B,Adjudication Partial ,Wednesday,13,43.0400816,-76.1317789,1,10
2,300 WAVERLY AVE,23500057,2023/01/04 13:42:00+00,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,Wednesday,13,43.0400816,-76.1317789,1,25
3,300 WAVERLY AVE,23500060,2023/01/04 14:07:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Wednesday,14,43.0400816,-76.1317789,1,25
4,300 WAVERLY AVE,23500061,2023/01/04 14:08:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Fourth Notice,Wednesday,14,43.0400816,-76.1317789,1,25
5,300 WAVERLY AVE,231500060,2023/01/04 14:07:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Adjudication Approved,Wednesday,14,43.0400816,-76.1317789,1,0
6,300 WAVERLY AVE,231500061,2023/01/04 14:08:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Wednesday,14,43.0400816,-76.1317789,1,25
7,300 WAVERLY AVE,23500062,2023/01/04 14:10:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Wednesday,14,43.0400816,-76.1317789,1,25
8,300 WAVERLY AVE,231500062,2023/01/04 14:09:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Fourth Notice,Wednesday,14,43.0400816,-76.1317789,1,25
9,300 WAVERLY AVE,231500063,2023/01/04 14:11:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Wednesday,14,43.0400816,-76.1317789,1,25
10,300 WAVERLY AVE,23500063,2023/01/04 14:11:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Wednesday,14,43.0400816,-76.1317789,1,25
11,300 WAVERLY AVE,231500064,2023/01/04 14:12:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Fourth Notice,Wednesday,14,43.0400816,-76.1317789,1,25
12,300 WAVERLY AVE,23500064,2023/01/04 14:13:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Wednesday,14,43.0400816,-76.1317789,1,25
13,300 WAVERLY AVE,231500065,2023/01/04 14:13:00+00,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Wednesday,14,43.0400816,-76.1317789,1,25
