location,amount,lat,lon
300 WAVERLY AVE,17835,43.0400816,-76.1317789
200 WALNUT PL,10780,43.04245675,-76.1331655
100 MARSHALL ST,6880,43.041511,-76.13648
700 COMSTOCK AVE,6845,43.039224,-76.130184
200 BANK ALLEY,5830,43.048555,-76.15158
900 WALNUT AVE,5630,43.041035,-76.1324993
300 MONTGOMERY ST,5500,43.0482461,-76.1495403
900 MADISON ST,5430,43.045248,-76.134196
300 WALNUT PL,5200,43.0414205,-76.13319862251035
300 SALINA ST S,4770,43.048561,-76.152329
300 WARREN ST S,4705,43.04853295,-76.15107612442631
100 COMSTOCK AVE,4640,43.046165,-76.130835
1000 MADISON ST,4510,43.045219,-76.131977
100 DELL ST,3990,43.041795,-76.120445
1000 EILEEN COLLINS BLVD,3985,43.113505702811246,-76.11989651004016
700 LIVINGSTON AVE,3970,43.037905,-76.127188
800 ACKERMAN AVE,3740,43.036408,-76.124493
300 WASHINGTON ST E,3720,43.0492047,-76.1481375
200 WALTON ST,3710,43.0480834,-76.1556976
700 WALNUT AVE,3420,43.04403,-76.132275
200 WASHINGTON ST W,3195,43.049686,-76.153724
600 STATE ST S,3055,43.0415743,-76.1723785
700 IRVING AVE,3025,43.0424791,-76.1383985
400 MARSHALL ST,3015,43.04113085,-76.12978748333698
400 WARREN ST S,2940,43.046903,-76.150912
200 JEFFERSON ST W,2900,43.0468838,-76.1551802
600 WALNUT AVE,2900,43.045179,-76.132259
900 FAYETTE ST E,2870,43.0484055,-76.1374615
500 WALNUT AVE,2855,43.0465308,-76.1323599
200 COMSTOCK AVE,2810,43.0451487,-76.130829
800 WALNUT AVE,2810,43.0421053,-76.1324459
800 LANCASTER AVE,2785,43.036473,-76.123268
100 WALNUT PL,2735,43.0422531,-76.1328252
700 CROUSE AVE S,2735,43.0424911,-76.1368164
400 MONTGOMERY ST,2710,43.046942,-76.149107
200 JEFFERSON ST E,2700,43.046945,-76.150633
300 ONONDAGA ST E,2685,43.047056,-76.148524
300 FORMAN AVE,2495,43.048391,-76.140049
200 MARSHALL ST,2480,43.041512,-76.134274
100 REMINGTON AVE,2395,43.018403,-76.133353
900 ACKERMAN AVE,2335,43.0340951,-76.1243649
1400 SALT SPRINGS RD,2330,43.047364,-76.08885
200 PROSPECT AVE,2325,43.054776,-76.148399
800 SUMNER AVE,2325,43.036339,-76.125755
800 LIVINGSTON AVE,2270,43.036276,-76.127018
200 EUCLID AVE,2210,43.0361204,-76.1293797
700 STATE ST S,2035,0.0,0.0
400 SALINA ST S,2020,43.0466087,-76.1527955
1000 MCBRIDE ST S,1980,43.0415451,-76.1442307
200 WARREN ST S,1975,43.049428,-76.15086
200 DORCHESTER AVE,1960,43.069453,-76.125109
400 LAUREL ST E,1900,43.057369,-76.148783
700 LANCASTER AVE,1875,43.03820535,-76.1235476067711
700 FAYETTE ST E,1865,43.04846,-76.141996
800 MARYLAND AVE,1855,43.03650915,-76.12054507283808
100 REDFIELD PL,1815,43.037424,-76.123079
200 MADISON ST,1790,43.045396,-76.148647
200 WATER ST E,1750,43.050425,-76.150598
900 LANCASTER AVE,1720,43.0341179,-76.12323248867946
400 GENESEE ST E,1710,43.047958,-76.147246
300 JEFFERSON ST W,1700,43.04755,-76.155721
400 BOYDEN ST,1700,43.0610818,-76.1219148
500 MONTGOMERY ST,1685,43.0380871,-76.1486963
200 GENESEE ST W,1680,43.0515633,-76.1536655
100 ASHWORTH PL,1670,43.047635,-76.134138
100 WAYNE ST,1645,43.0541216,-76.1421976
700 SUMNER AVE,1640,43.037936650000006,-76.12608987597199
1100 MADISON ST,1635,43.045212,-76.130468
100 WASHINGTON ST E,1605,43.0493828,-76.1518326
300 GREEN ST,1600,43.055433,-76.137463
200 SALINA ST S,1595,43.049465,-76.152317
700 MARYLAND AVE,1575,43.038331,-76.1207114
700 EUCLID AVE,1555,43.0364421,-76.1229386
